Producto|Brand|Categories
Salchichón extra loncheado Revilla 85 g|Revilla|Charcutería
Salchichón ibérico de cebo en lonchas extrafinas 100 g|(Sin marca)|Charcutería
Salchichón Ibérico extra en lonchas Carrefour sin gluten 100 g.|Carrefour|Charcutería
Salchichón ibérico extra en lonchas finas Boadas 1880 sin gluten 100 g|Boadas 1880|Charcutería
Salchichón ibérico La Hacienda del ibérico lonchas|La Hacienda del ibérico|Charcutería
Salchichón ibérico velita sin gluten y sin lactosa 400 g|(Sin marca)|Charcutería
SERRANO fiambre de lomo de pavo sobre 240 gr|SERRANO|Charcutería
SERRANO fiambre de pechuga de pavo en lonchas bandeja 380 gr|SERRANO|Charcutería
Sobrasada con miel L'Illa especialidades|L'Illa|Charcutería
Sobrasada de Mallorca etiqueta negra El Zagal 200 g.|El Zagal|Charcutería
Sobrasada El Pozo 250 g.|El Pozo|Charcutería
Taco paleta curada Marpa|Marpa|Charcutería
Taquitos de chorizo Revilla|Revilla|Charcutería, Aperitivos
Taquitos de jamón Incarlopsa|Incarlopsa|Charcutería
Tarrina de huevo hilado Santa Teresa 100 g.|Santa Teresa|Charcutería, Repostería
Tiras de bacon ahumado natural Monells 200 g.|Monells|Charcutería
Tiras de bacon natural ahumado El Pozo pack de 2 unidades de 55 g.|El Pozo|Charcutería
Tiras de bacon Oscar Mayer sin gluten 130 g.|Oscar Mayer|Charcutería
Tiras de jamón curado Navidul sin gluten 60 g.|Navidul|Charcutería
Tiras de pechuga de pollo al natural Hacendado|Hacendado|Charcutería
Tiras de pechuga pollo al horno Hacendado|Hacendado|Charcutería, Carnicería
Torrezno de Soria La Hoguera 215 g|La Hoguera|Charcutería
TRONCO BRETAN jamón gran reserva sobre 100 gr|TRONCO BRETAN|Charcutería
VILLAR chorizo ibérico extra pieza 200 gr|VILLAR|Charcutería
VILLAR lomo embuchado pieza 360 gr|VILLAR|Charcutería
WUDY salchichas con queso envase 150 g|WUDY|Charcutería
